time,open,high,low,close,EMA,SMMA,Volume,Bollinger Bars Wicks (Open),Bollinger Bars Wicks (High,Bollinger Bars Wicks (Low),Bollinger Bars Wicks (Close),Bollinger Bars Body (Open),Bollinger Bars Body (High,Bollinger Bars Body (Low),Bollinger Bars Body (Close),RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram,MACD,Signal,OnBalanceVolume,ATR
1733691600,5.26,5.32,5.26,5.3,5.2557981037282575,5.183106027318966,62342,5.32,5.32,5.26,5.26,5.26,5.32,5.26,5.3,71.22715732643809,77.15336719816163,NaN,NaN,NaN,NaN,0.019852443021515925,0.21126700172987078,0.19141455870835486,-12296274,0.09611317700281195
1733778000,5.3,5.3,5.28,5.3,5.264638482982606,5.199805166273399,11878,5.3,5.3,5.28,5.28,5.3,5.3,5.28,5.3,71.22715732643809,77.69817471767531,NaN,NaN,NaN,NaN,0.0096493201369528,0.20347620887954587,0.19382688874259307,-12296274,0.09067652150261107
1733864400,5.3,5.38,5.3,5.33,5.277710786386084,5.218404428234342,32341,5.38,5.38,5.3,5.3,5.3,5.38,5.3,5.33,72.4061064575252,77.50501149751015,NaN,NaN,NaN,NaN,0.00289581424208038,0.19744665654519356,0.19455084230311318,-12263933,0.08991391282385315
1733950800,5.38,5.7,5.38,5.62,5.346168629108868,5.275775224200864,207447,5.7,5.7,5.38,5.38,5.38,5.7,5.38,5.62,80.65695432552155,78.29919609505954,NaN,NaN,NaN,NaN,0.01524448383097965,0.21360644709183774,0.1983619632608581,-12056486,0.10992006190786364
1734037200,5.56,5.56,5.5,5.5,5.376934903287094,5.307807335029312,22672,5.56,5.56,5.5,5.5,5.56,5.56,5.5,5.5,71.17339801354245,77.5675854370182,NaN,NaN,NaN,NaN,0.01271870184987725,0.21426034057320464,0.2015416387233274,-12079158,0.11064005748587338
1734296400,5.5,5.5,5.4,5.45,5.391547922629676,5.328120572882268,26456,5.5,5.5,5.4,5.4,5.5,5.5,5.4,5.45,67.60649523029375,76.45508352662657,NaN,NaN,NaN,NaN,0.00544055542880878,0.20834233300933835,0.20290177758052957,-12105614,0.10988005337973954
1734382800,5.45,5.56,5.44,5.56,5.425238338103741,5.361246205327658,28062,5.56,5.56,5.44,5.44,5.45,5.56,5.44,5.56,71.04453913096009,75.31510604471707,NaN,NaN,NaN,NaN,0.0057636775918211425,0.210106374570306,0.20434269697848487,-12077552,0.11060290670975807
1734469200,5.46,5.52,5.46,5.49,5.438190670482992,5.379639604566564,19040,5.52,5.52,5.46,5.46,5.46,5.52,5.46,5.49,66.22748237361265,74.08480409172728,NaN,NaN,NaN,NaN,-0.0006661270297113053,0.20351003819134572,0.20417616522105703,-12096592,0.10984555623048961
1734555600,5.44,5.44,5.3,5.35,5.420552536386394,5.37540537534277,36992,5.44,5.44,5.3,5.3,5.44,5.44,5.3,5.35,57.788210343591764,72.21395933926077,NaN,NaN,NaN,NaN,-0.015457192579848067,0.18485467449624693,0.200311867076095,-12133584,0.11557087364259752
1734642000,5.37,5.37,5.27,5.27,5.390442029109115,5.360347464579517,40056,5.37,5.37,5.27,5.27,5.37,5.37,5.27,5.27,53.58611729060751,70.01732411609478,NaN,NaN,NaN,NaN,-0.03084927250065833,0.16175027645027207,0.1925995489509304,-12173640,0.11445866838241202
1734901200,5.27,5.29,5.25,5.29,5.370353623287293,5.350297826782443,19752,5.29,5.29,5.25,5.25,5.27,5.29,5.25,5.29,54.47732490323837,68.16170780662652,NaN,NaN,NaN,NaN,-0.03935910020780678,0.14340067369117193,0.1827597738989787,-12153888,0.1091401920693826
1734987600,5.29,5.4,5.29,5.4,5.376282898629834,5.357398137242093,15754,5.4,5.4,5.29,5.29,5.29,5.4,5.29,5.4,59.125964505808696,67.32770945886371,NaN,NaN,NaN,NaN,-0.03727586923409104,0.13616493735636492,0.17344080659045596,-12138134,0.10920160692156958
1735246800,5.4,5.46,5.3,5.3,5.361026318903868,5.349198403350365,965,5.46,5.46,5.3,5.3,5.4,5.46,5.3,5.3,53.75211321993368,65.95139521755492,NaN,NaN,NaN,NaN,-0.04197907086646918,0.1209669680073695,0.16294603887383868,-12139099,0.11283006357002891
1735506000,5.33,5.5,5.33,5.5,5.388821055123094,5.370741488586027,11250,5.5,5.5,5.33,5.33,5.33,5.5,5.33,5.5,61.32340986995876,65.11588787981935,NaN,NaN,NaN,NaN,-0.031448349440760776,0.12363560207288771,0.15508395151364848,-12127849,0.11905648760074114
1735592400,5.5,5.51,5.5,5.5,5.411056844098475,5.389206990216595,6679,5.51,5.51,5.5,5.5,5.5,5.51,5.5,5.5,61.32340986995876,64.40847734721369,NaN,NaN,NaN,NaN,-0.02461319360451586,0.12431745950800366,0.14893065311251952,-12127849,0.11126673848640246
